review_id,customer_name,age,brand,model,price_usd,price_local,currency,exchange_rate_to_usd,rating,review_text,sentiment,country,language,review_date,verified_purchase,battery_life_rating,camera_rating,performance_rating,design_rating,display_rating,review_length,word_count,helpful_votes,source
56,Ravi da Cruz,39,OnePlus,OnePlus 11R,366.5,R$2089.05,BRL,5.7,4,Build quality feels solid and durable. Loving it so far!,Positive,Brazil,Portuguese,2023-02-16,False,5,4,2,3,4,56,10,3,Flipkart
57,Henry Gibson,41,Motorola,Edge 50,633.36,£494.02,GBP,0.78,1,Speaker quality is bad and muffled. Very disappointed.,Negative,UK,English,2025-07-31,True,1,1,1,1,1,54,8,3,BestBuy
58,Dr. Tracy House DVM,18,Motorola,Moto G Power,355.65,C$490.8,CAD,1.38,3,Worth every penny. Highly recommended! Loving it so far!,Positive,Canada,English,2023-07-07,True,3,1,4,1,4,56,9,8,Amazon
59,John Hancock,36,Xiaomi,Redmi Note 13,211.23,د.إ775.21,AED,3.67,5,Design feels premium and stylish. Loving it so far!,Positive,UAE,English,2023-01-21,False,4,4,3,5,3,51,9,4,eBay
60,Aaron Myers,32,OnePlus,OnePlus Nord 3,438.98,C$605.79,CAD,1.38,2,Phone lags often after a few apps. Very disappointed.,Negative,Canada,English,2024-09-27,True,2,3,3,1,1,53,9,1,eBay
61,Michael Cross,22,OnePlus,OnePlus Nord 3,458.08,$458.08,USD,1.0,3,Sound quality is okay but not very loud. Average experience overall.,Neutral,USA,English,2025-03-03,True,2,1,2,1,2,68,11,4,eBay
62,Mohammed Gupta,36,Realme,Realme Narzo 70,270.27,₹22432.41,INR,83.0,5,Battery easily lasts a day with heavy use. No regrets buying this one.,Positive,India,Hindi,2024-01-25,True,3,4,4,3,5,70,13,2,BestBuy
63,Benjamin Pacheco,48,Apple,iPhone 14,1282.55,R$7310.53,BRL,5.7,3,Fast charging is a lifesaver. No regrets buying this one.,Positive,Brazil,Portuguese,2025-02-10,True,3,2,3,3,3,57,10,3,AliExpress
64,Erik Williams,31,Apple,iPhone 15 Pro,1460.19,C$2015.06,CAD,1.38,3,Worth every penny. Highly recommended! Absolutely worth it!,Positive,Canada,English,2024-10-31,True,1,3,3,3,4,59,8,7,Amazon
65,Sarah Moore,18,Google,Pixel 6,923.35,C$1274.22,CAD,1.38,2,Display started flickering after a month. Returning this soon.,Negative,Canada,English,2024-12-18,True,1,3,1,2,2,62,9,2,BestBuy
66,Cody Larson,19,Google,Pixel 7a,857.76,$857.76,USD,1.0,4,Worth every penny. Highly recommended! No regrets buying this one.,Positive,USA,English,2025-09-04,True,5,3,4,4,2,66,10,6,BestBuy
67,Dipl.-Ing. Bruno Roskoth B.A.,40,Xiaomi,Poco X6,635.05,€590.6,EUR,0.93,4,Loving the clean UI and fast updates. Loving it so far!,Positive,Germany,German,2025-04-08,True,3,5,5,3,3,55,11,4,eBay
68,Lorenzo Butte,18,Realme,Realme 12 Pro,300.64,€279.6,EUR,0.93,5,Display is crisp and vibrant — perfect for gaming. Absolutely worth it!,Positive,Germany,German,2024-08-03,True,3,3,5,4,4,71,12,8,Flipkart
69,Krystal Stewart,24,Xiaomi,Poco X6,503.87,A$770.92,AUD,1.53,3,"Face unlock is instant, super smooth. Best purchase of the year!",Positive,Australia,English,2023-12-01,True,2,2,2,4,4,64,11,4,Flipkart
70,Hollie Edwards,21,Google,Pixel 7a,822.18,£641.3,GBP,0.78,2,"Performance is average, camera okay. Average experience overall.",Neutral,UK,English,2023-10-27,True,2,1,2,2,3,64,8,1,AliExpress
71,Carlos Brewer,20,OnePlus,OnePlus 12,615.49,C$849.38,CAD,1.38,5,Worth every penny. Highly recommended! Loving it so far!,Positive,Canada,English,2024-10-01,False,4,4,5,3,1,56,9,10,Flipkart
72,Paul Jones,40,Apple,iPhone 14,1266.69,C$1748.03,CAD,1.38,1,Charging is very slow compared to other brands. Very disappointed.,Negative,Canada,English,2024-10-02,True,2,2,1,1,1,66,10,2,AliExpress
73,Kristine Garcia,30,Samsung,Galaxy Z Flip,1217.97,د.إ4469.95,AED,3.67,1,Speaker quality is bad and muffled. Wouldn’t recommend.,Negative,UAE,English,2025-02-03,True,1,1,1,1,1,55,8,2,Amazon
74,Thiago da Luz,29,Motorola,Edge 50,656.62,R$3742.73,BRL,5.7,3,Design feels premium and stylish. Loving it so far!,Positive,Brazil,Portuguese,2023-05-15,False,3,3,3,2,3,51,9,4,AliExpress
75,Shirley Suarez,24,Xiaomi,Redmi Note 13,510.46,C$704.43,CAD,1.38,4,Battery easily lasts a day with heavy use. Best purchase of the year!,Positive,Canada,English,2024-05-18,True,3,1,4,5,2,69,13,6,eBay
76,Jeffrey Daniels,18,Realme,Realme Narzo 70,214.6,د.إ787.58,AED,3.67,2,Neutral feelings — neither great nor bad. Fine but could be better.,Neutral,UAE,English,2024-02-03,False,2,2,1,3,1,67,12,1,eBay
77,Victoria Valdez,33,Motorola,Razr 40,790.39,د.إ2900.73,AED,3.67,4,Smooth performance even after months of use. Best purchase of the year!,Positive,UAE,English,2022-11-03,True,2,5,3,5,4,71,12,5,Flipkart
78,Valentina Spieß,29,Motorola,Razr 40,752.51,€699.83,EUR,0.93,3,"Does what it’s supposed to, nothing special. Average experience overall.",Neutral,Germany,German,2023-03-31,True,4,2,4,2,1,72,10,0,BestBuy
79,Franco Drub-Döring,39,Xiaomi,Redmi Note 13,490.99,€456.62,EUR,0.93,3,Design feels premium and stylish. No regrets buying this one.,Positive,Germany,German,2025-02-27,True,2,2,2,2,5,61,10,4,AliExpress
80,Abigail Bird,29,Apple,iPhone 13,1084.41,£845.84,GBP,0.78,4,Design feels premium and stylish. Best purchase of the year!,Positive,UK,English,2023-09-14,True,2,5,4,3,4,60,10,3,Flipkart
81,Sra. Gabrielly Rodrigues,27,Apple,iPhone 15 Pro,726.56,R$4141.39,BRL,5.7,3,Fast charging is a lifesaver. Best purchase of the year!,Positive,Brazil,Portuguese,2025-07-03,True,4,3,2,3,4,56,10,2,Flipkart
82,Thiago Mendonça,33,Motorola,Moto G Power,524.78,R$2991.25,BRL,5.7,3,Neutral feelings — neither great nor bad. Fine but could be better.,Neutral,Brazil,Portuguese,2023-11-16,True,3,2,4,3,3,67,12,3,AliExpress
83,George Sampath,24,Xiaomi,Mi 13 Pro,565.79,₹46960.57,INR,83.0,3,Fast charging is a lifesaver. No regrets buying this one.,Positive,India,Hindi,2023-12-25,True,3,4,5,2,2,57,10,5,eBay
84,Gavin Anderson,40,Google,Pixel 6,518.39,C$715.38,CAD,1.38,5,"Face unlock is instant, super smooth. Loving it so far!",Positive,Canada,English,2023-12-02,True,4,5,5,3,4,55,10,5,eBay
85,Jeremy Thornton,24,Apple,iPhone 15 Pro,1280.21,A$1958.72,AUD,1.53,3,Display is crisp and vibrant — perfect for gaming. Loving it so far!,Positive,Australia,English,2025-03-11,False,3,3,3,1,4,68,13,4,Flipkart
86,Isaac Borra,29,Google,Pixel 6,1082.84,₹89875.72,INR,83.0,5,Display is crisp and vibrant — perfect for gaming. Absolutely worth it!,Positive,India,Hindi,2025-09-29,True,5,5,4,5,2,71,12,5,eBay
87,Teresa Fowler,33,Samsung,Galaxy Z Flip,1056.74,£824.26,GBP,0.78,4,Absolutely love this phone! The camera is next level. No regrets buying this one.,Positive,UK,English,2024-05-17,True,3,4,4,2,4,81,14,5,Flipkart
88,Brittany Anderson,26,Xiaomi,Mi 13 Pro,218.34,A$334.06,AUD,1.53,2,"Design is okay, a bit bulky though. Average experience overall.",Neutral,Australia,English,2024-02-12,True,4,2,2,3,2,63,10,1,eBay
89,Timothy Stanton,30,OnePlus,OnePlus 12,525.34,د.إ1928.0,AED,3.67,5,Absolutely love this phone! The camera is next level. Absolutely worth it!,Positive,UAE,English,2022-12-22,False,5,4,5,3,5,74,12,5,BestBuy
90,Shivansh Krish,36,Samsung,Galaxy S24,707.93,₹58758.19,INR,83.0,3,"Overall decent, but expected a bit more for the price. Okay for casual use.",Neutral,India,Hindi,2025-08-23,True,1,2,4,2,3,75,14,5,Amazon
91,Richard Henson,41,Google,Pixel 8,1021.34,C$1409.45,CAD,1.38,3,Battery life could be slightly better. Average experience overall.,Neutral,Canada,English,2024-07-14,True,3,1,4,1,3,66,9,1,AliExpress
92,Vincenzo Hellwig-Fröhlich,33,Samsung,Galaxy Z Flip,1377.17,€1280.77,EUR,0.93,3,Fast charging is a lifesaver. Loving it so far!,Positive,Germany,German,2023-07-24,True,3,4,3,2,3,47,9,7,Amazon
93,Frau Cindy Walter,18,Motorola,Edge 50,526.69,€489.82,EUR,0.93,3,Battery easily lasts a day with heavy use. Absolutely worth it!,Positive,Germany,German,2024-03-21,False,4,2,2,1,2,63,11,3,AliExpress
94,Isadora da Mata,39,Realme,Realme Narzo 70,440.19,R$2509.08,BRL,5.7,3,Design feels premium and stylish. Absolutely worth it!,Positive,Brazil,Portuguese,2023-06-26,True,2,1,5,1,1,54,8,7,Flipkart
95,Ashley Brennan,32,Apple,iPhone SE,856.62,$856.62,USD,1.0,5,Build quality feels solid and durable. Absolutely worth it!,Positive,USA,English,2024-10-22,True,5,4,4,4,3,59,9,6,eBay
96,Robert Stevens,28,Realme,Realme Narzo 70,294.5,$294.5,USD,1.0,4,Loving the clean UI and fast updates. No regrets buying this one.,Positive,USA,English,2024-02-08,True,3,3,4,5,4,65,12,5,eBay
97,Shelby Walker,31,Motorola,Moto G Power,530.14,$530.14,USD,1.0,4,Display is crisp and vibrant — perfect for gaming. No regrets buying this one.,Positive,USA,English,2025-08-12,True,5,4,3,4,4,78,14,6,eBay
98,Murilo Farias,23,Realme,Realme 12 Pro,525.5,R$2995.35,BRL,5.7,3,Smooth performance even after months of use. No regrets buying this one.,Positive,Brazil,Portuguese,2023-12-28,True,3,2,5,1,3,72,12,4,AliExpress
99,Tracy Ramirez,32,Motorola,Moto G Power,585.18,د.إ2147.61,AED,3.67,1,"Design is okay, a bit bulky though. Fine but could be better.",Neutral,UAE,English,2025-07-14,True,2,1,1,1,1,61,12,2,BestBuy
100,Meghan Anthony,35,Motorola,Edge 50,615.46,$615.46,USD,1.0,1,Not worth the money spent. Returning this soon.,Negative,USA,English,2024-03-19,True,2,1,1,1,1,47,8,1,eBay
101,Danilo da Luz,18,Google,Pixel 6,541.65,R$3087.4,BRL,5.7,4,Fast charging is a lifesaver. Absolutely worth it!,Positive,Brazil,Portuguese,2023-07-26,True,4,4,2,4,5,50,8,6,BestBuy
102,Victoria Johnson,20,Samsung,Galaxy Z Flip,1357.63,C$1873.53,CAD,1.38,3,Fast charging is a lifesaver. No regrets buying this one.,Positive,Canada,English,2025-05-05,True,3,2,3,4,2,57,10,6,AliExpress
103,Hemani Murthy,31,Realme,Realme Narzo 70,596.84,₹49537.72,INR,83.0,2,Customer service was disappointing. Wouldn’t recommend.,Negative,India,Hindi,2024-08-29,True,4,2,2,1,2,55,6,2,eBay
104,Kayla Cruz,22,Xiaomi,Poco X6,351.56,C$485.15,CAD,1.38,4,"Face unlock is instant, super smooth. Best purchase of the year!",Positive,Canada,English,2025-04-04,True,3,4,4,3,2,64,11,9,Amazon
105,Andrew Graham,35,Apple,iPhone SE,1353.96,C$1868.46,CAD,1.38,4,Display is crisp and vibrant — perfect for gaming. Loving it so far!,Positive,Canada,English,2025-01-06,True,3,3,2,3,2,68,13,9,AliExpress
106,Kimberly Ball,26,OnePlus,OnePlus Nord 3,676.67,A$1035.31,AUD,1.53,5,Display is crisp and vibrant — perfect for gaming. No regrets buying this one.,Positive,Australia,English,2025-08-28,True,4,5,5,3,4,78,14,4,eBay
107,Hans-Christian Losekann B.Sc.,44,OnePlus,OnePlus Nord 3,752.73,€700.04,EUR,0.93,2,"Phone is fine, not the best in this range. Okay for casual use.",Neutral,Germany,German,2025-08-18,True,2,1,1,1,1,63,13,4,BestBuy
108,Lisa Alvarado,19,Apple,iPhone 13,1199.12,C$1654.79,CAD,1.38,4,Design feels premium and stylish. Best purchase of the year!,Positive,Canada,English,2023-05-03,True,3,3,4,3,2,60,10,4,AliExpress
109,Jolanthe Jessel,33,Motorola,Razr 40,449.69,€418.21,EUR,0.93,4,Battery easily lasts a day with heavy use. Loving it so far!,Positive,Germany,German,2025-08-22,True,2,4,3,4,4,60,12,4,BestBuy
110,Eta Rau,18,Samsung,Galaxy Note 20,724.68,₹60148.44,INR,83.0,2,"Does what it’s supposed to, nothing special. Okay for casual use.",Neutral,India,Hindi,2025-10-09,True,1,1,1,2,2,65,11,4,Amazon
111,Julia Clarke-Burton,23,Google,Pixel 7a,652.8,£509.18,GBP,0.78,3,Charging is very slow compared to other brands. Very disappointed.,Negative,UK,English,2024-06-01,False,3,3,4,4,3,66,10,1,AliExpress
112,Stephanie Gilbert,26,OnePlus,OnePlus Nord 3,682.94,د.إ2506.39,AED,3.67,2,Software updates are delayed sometimes. Average experience overall.,Neutral,UAE,English,2024-02-01,True,2,1,1,3,1,67,8,1,Amazon
113,Roy Torres,37,OnePlus,OnePlus Nord 3,463.17,$463.17,USD,1.0,5,Battery easily lasts a day with heavy use. Best purchase of the year!,Positive,USA,English,2023-09-13,True,5,4,3,5,4,69,13,5,AliExpress
114,Miss Joan Williams,30,Realme,Realme 12 Pro,515.46,£402.06,GBP,0.78,4,Smooth performance even after months of use. No regrets buying this one.,Positive,UK,English,2025-09-05,True,4,5,4,4,5,72,12,4,Flipkart
115,John Santana,31,Apple,iPhone 15 Pro,1045.66,C$1443.01,CAD,1.38,4,Loving the clean UI and fast updates. Best purchase of the year!,Positive,Canada,English,2023-07-12,True,3,3,4,3,2,64,12,11,eBay
116,Antonella da Paz,29,OnePlus,OnePlus 11R,704.27,R$4014.34,BRL,5.7,2,Not worth the money spent. Very disappointed.,Negative,Brazil,Portuguese,2024-12-30,True,1,2,2,2,1,45,7,4,Amazon
117,Lisa Davis,33,Motorola,Edge 50,378.53,C$522.37,CAD,1.38,3,Sound quality is okay but not very loud. Fine but could be better.,Neutral,Canada,English,2023-10-21,True,4,3,2,1,2,66,13,2,Flipkart
118,Dean Wilson,24,Samsung,Galaxy S24,1133.07,£883.79,GBP,0.78,2,"Overall decent, but expected a bit more for the price. Average experience overall.",Neutral,UK,English,2023-08-27,True,1,2,3,1,1,82,13,1,AliExpress
119,Aryan Batra,18,Xiaomi,Mi 13 Pro,638.33,₹52981.39,INR,83.0,1,Phone lags often after a few apps. Not up to the mark.,Negative,India,Hindi,2023-11-06,True,1,1,1,2,2,54,12,0,eBay
120,Prof. Sigrid Wilmsen B.Sc.,24,Apple,iPhone 13,1195.67,€1111.97,EUR,0.93,3,Build quality feels solid and durable. Loving it so far!,Positive,Germany,German,2024-09-28,True,5,2,3,4,5,56,10,7,AliExpress
121,Univ.Prof. Leni Gude,39,Samsung,Galaxy A55,458.55,€426.45,EUR,0.93,5,Smooth performance even after months of use. Absolutely worth it!,Positive,Germany,German,2025-10-07,True,5,5,3,4,4,65,10,6,BestBuy
122,Jeannine Kuhl-Henk,26,Google,Pixel 6,752.75,€700.06,EUR,0.93,1,Software updates are delayed sometimes. Okay for casual use.,Neutral,Germany,German,2023-06-08,True,1,2,1,2,1,60,9,1,BestBuy
123,Tim Weitzel,37,Realme,Realme Narzo 70,332.14,€308.89,EUR,0.93,4,Loving the clean UI and fast updates. Best purchase of the year!,Positive,Germany,German,2023-04-05,True,2,4,5,3,3,64,12,4,AliExpress
